,exp_step,wall_time,name,step,value
190,exp9_step1_finetune_2024-07-30-12-39,1722343917.790862,train_loss,91,0.00047212833305820823
191,exp9_step1_finetune_2024-07-30-12-39,1722343917.7909076,train_acc,91,0.75
192,exp9_step1_finetune_2024-07-30-12-39,1722343923.78752,train_loss,92,0.0007267501787282526
193,exp9_step1_finetune_2024-07-30-12-39,1722343923.7875617,train_acc,92,0.517380952835083
194,exp9_step1_finetune_2024-07-30-12-39,1722343929.7596512,train_loss,93,0.0004277005500625819
195,exp9_step1_finetune_2024-07-30-12-39,1722343929.759691,train_acc,93,0.6509804129600525
196,exp9_step1_finetune_2024-07-30-12-39,1722343935.7716715,train_loss,94,0.00040669713052920997
197,exp9_step1_finetune_2024-07-30-12-39,1722343935.771712,train_acc,94,0.6567226648330688
198,exp9_step1_finetune_2024-07-30-12-39,1722343992.1069865,valid_loss,4,0.00043365772580727935
199,exp9_step1_finetune_2024-07-30-12-39,1722343992.1070356,valid_acc,4,0.7701638340950012
200,exp9_step1_finetune_2024-07-30-12-39,1722343992.4836655,train_loss,95,0.00044048434938304126
201,exp9_step1_finetune_2024-07-30-12-39,1722343992.4837577,train_acc,95,0.6745098233222961
202,exp9_step1_finetune_2024-07-30-12-39,1722343998.3953698,train_loss,96,0.0003896791022270918
203,exp9_step1_finetune_2024-07-30-12-39,1722343998.3954115,train_acc,96,0.8002800941467285
204,exp9_step1_finetune_2024-07-30-12-39,1722344004.2948964,train_loss,97,0.00042712895083241165
205,exp9_step1_finetune_2024-07-30-12-39,1722344004.2949364,train_acc,97,0.7450980544090271
206,exp9_step1_finetune_2024-07-30-12-39,1722344010.2570968,train_loss,98,0.00046636536717414856
207,exp9_step1_finetune_2024-07-30-12-39,1722344010.2571452,train_acc,98,0.624369740486145
208,exp9_step1_finetune_2024-07-30-12-39,1722344016.1669178,train_loss,99,0.0005461004329845309
209,exp9_step1_finetune_2024-07-30-12-39,1722344016.166959,train_acc,99,0.699299693107605
210,exp9_step1_finetune_2024-07-30-12-39,1722344022.101151,train_loss,100,0.0005351216532289982
211,exp9_step1_finetune_2024-07-30-12-39,1722344022.101193,train_acc,100,0.5917366743087769
212,exp9_step1_finetune_2024-07-30-12-39,1722344028.10712,train_loss,101,0.0005874025519005954
213,exp9_step1_finetune_2024-07-30-12-39,1722344028.1071634,train_acc,101,0.7386554479598999
214,exp9_step1_finetune_2024-07-30-12-39,1722344034.0976982,train_loss,102,0.0006852257647551596
215,exp9_step1_finetune_2024-07-30-12-39,1722344034.0977445,train_acc,102,0.6019607782363892
216,exp9_step1_finetune_2024-07-30-12-39,1722344040.120127,train_loss,103,0.0004463943769223988
217,exp9_step1_finetune_2024-07-30-12-39,1722344040.1201708,train_acc,103,0.634313702583313
218,exp9_step1_finetune_2024-07-30-12-39,1722344046.1511798,train_loss,104,0.0005502792773768306
219,exp9_step1_finetune_2024-07-30-12-39,1722344046.1512213,train_acc,104,0.7717086672782898
220,exp9_step1_finetune_2024-07-30-12-39,1722344052.1410272,train_loss,105,0.0005321321659721434
221,exp9_step1_finetune_2024-07-30-12-39,1722344052.1410701,train_acc,105,0.4908163249492645
222,exp9_step1_finetune_2024-07-30-12-39,1722344058.1650891,train_loss,106,0.0004206521261949092
223,exp9_step1_finetune_2024-07-30-12-39,1722344058.165132,train_acc,106,0.8535714149475098
224,exp9_step1_finetune_2024-07-30-12-39,1722344064.182295,train_loss,107,0.0004076251352671534
225,exp9_step1_finetune_2024-07-30-12-39,1722344064.1823354,train_acc,107,0.843837559223175
226,exp9_step1_finetune_2024-07-30-12-39,1722344070.1559935,train_loss,108,0.0005010601598769426
227,exp9_step1_finetune_2024-07-30-12-39,1722344070.1560354,train_acc,108,0.7906862497329712
228,exp9_step1_finetune_2024-07-30-12-39,1722344076.173008,train_loss,109,0.0004172564949840307
229,exp9_step1_finetune_2024-07-30-12-39,1722344076.1730597,train_acc,109,0.7263305187225342
